label,Date,CValue
LESS: Excess allowance for loan and lease losses,2020-06-30,[7.414e+09]
LESS: Excess allowance for loan and lease losses,2020-12-31,[-2.455e+09]
LESS: Excess allowance for loan and lease losses,2021-03-31,[2.162e+09]
LESS: Excess allowance for loan and lease losses,2021-06-30,[-2.162e+09]
LESS: Excess allowance for loan and lease losses,2022-12-31,[3.51e+08]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2002-03-31,[1.13179e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2003-12-31,[-4.3113e+10]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2004-03-31,[4.2359e+10]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2004-12-31,[2.6747e+10]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2005-09-30,[-1.417e+10]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2007-03-31,[7.6316e+10]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2007-06-30,[2.2955e+10]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2008-03-31,[1.18648e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2008-12-31,[-1.7868e+10]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2015-03-31,[1.10812e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2017-03-31,[1.3091e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2018-03-31,[1.43929e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2019-03-31,[1.46287e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2020-03-31,[1.66502e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2020-12-31,[4.3698e+10]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2021-03-31,[2.07657e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2022-03-31,[2.20199e+11]
"Loans and leases (reported in Schedule RC-C, part I, items 1 through 10, column A) with a REMAINING MATURITY of one year or less (excluding those in nonaccrual status)",2023-03-31,[2.24973e+11]
Debt securities with a REMAINING MATURITY of one year or less,2008-12-31,[-1.5324e+10]
Debt securities with a REMAINING MATURITY of one year or less,2009-03-31,[1.7414e+10]
Debt securities with a REMAINING MATURITY of one year or less,2010-03-31,[1.6522e+10]
Debt securities with a REMAINING MATURITY of one year or less,2011-03-31,[2.7531e+10]
Debt securities with a REMAINING MATURITY of one year or less,2012-03-31,[4.4331e+10]
Debt securities with a REMAINING MATURITY of one year or less,2012-06-30,[-6.222e+09]
Debt securities with a REMAINING MATURITY of one year or less,2013-03-31,[2.7873e+10]
Debt securities with a REMAINING MATURITY of one year or less,2013-06-30,[-5.736e+09]
Debt securities with a REMAINING MATURITY of one year or less,2014-03-31,[2.1292e+10]
Debt securities with a REMAINING MATURITY of one year or less,2016-03-31,[1.1705e+10]
Debt securities with a REMAINING MATURITY of one year or less,2017-03-31,[8.811e+09]
Debt securities with a REMAINING MATURITY of one year or less,2018-12-31,[2.3962e+10]
Debt securities with a REMAINING MATURITY of one year or less,2019-03-31,[2.6275e+10]
Debt securities with a REMAINING MATURITY of one year or less,2019-06-30,[-1.4689e+10]
Debt securities with a REMAINING MATURITY of one year or less,2020-06-30,[3.6777e+10]
Debt securities with a REMAINING MATURITY of one year or less,2022-03-31,[5.0167e+10]
Debt securities with a REMAINING MATURITY of one year or less,2022-06-30,[-6.641e+09]
Debt securities with a REMAINING MATURITY of one year or less,2023-03-31,[8.1676e+10]
Three months or less,2009-12-31,[3.6455e+10]
Three months or less,2010-03-31,[3.6572e+10]
Three months or less,2011-03-31,[3.1171e+10]
Three months or less,2012-03-31,[6.7107e+10]
Three months or less,2013-03-31,[4.8541e+10]
Three months or less,2014-03-31,[5.0665e+10]
Three months or less,2015-03-31,[4.7277e+10]
Three months or less,2016-03-31,[4.4818e+10]
Three months or less,2017-03-31,[3.5664e+10]
Three months or less,2018-03-31,[2.6382e+10]
Three months or less,2019-03-31,[4.4708e+10]
Three months or less,2019-06-30,[-1.6715e+10]
Three months or less,2020-03-31,[3.1865e+10]
Three months or less,2021-03-31,[3.3104e+10]
Three months or less,2022-03-31,[5.9777e+10]
Three months or less,2023-03-31,[7.8232e+10]
Three months or less,2001-03-31,[7.1586e+10]
Three months or less,2002-03-31,[8.0752e+10]
Three months or less,2002-09-30,[-8.099e+09]
Three months or less,2003-03-31,[6.8721e+10]
Three months or less,2003-09-30,[-1.568e+10]
Three months or less,2004-03-31,[6.1168e+10]
Three months or less,2004-12-31,[1.05102e+11]
Three months or less,2005-03-31,[1.70498e+11]
Three months or less,2006-03-31,[1.95467e+11]
Three months or less,2006-06-30,[-1.6373e+10]
Three months or less,2007-03-31,[1.78198e+11]
Three months or less,2007-06-30,[2.3506e+10]
Three months or less,2007-09-30,[1.7893e+10]
Three months or less,2007-12-31,[2.6258e+10]
Three months or less,2008-03-31,[2.7877e+11]
Three months or less,2008-09-30,[7.7715e+10]
Three months or less,2008-12-31,[-3.3425e+10]
Three months or less,2009-03-31,[3.06707e+11]
Three months or less,2009-06-30,[-2.0788e+10]
Three months or less,2009-09-30,[-1.3068e+10]
Three months or less,2009-12-31,[-1.2462e+10]
Three months or less,2010-03-31,[2.6853e+11]
Three months or less,2011-03-31,[2.78313e+11]
Three months or less,2011-12-31,[2.0813e+10]
Three months or less,2012-03-31,[3.19459e+11]
Three months or less,2012-12-31,[1.3134e+10]
Three months or less,2013-03-31,[3.41481e+11]
Three months or less,2013-06-30,[-1.4889e+10]
Three months or less,2014-03-31,[3.27372e+11]
Three months or less,2015-03-31,[3.32581e+11]
Three months or less,2016-03-31,[3.47755e+11]
Three months or less,2017-03-31,[3.35342e+11]
Three months or less,2018-03-31,[3.43121e+11]
Three months or less,2018-12-31,[2.104e+10]
Three months or less,2019-03-31,[3.60256e+11]
Three months or less,2019-06-30,[1.00017e+11]
Three months or less,2019-09-30,[3.1386e+10]
Three months or less,2020-03-31,[5.38044e+11]
Three months or less,2020-06-30,[-5.0932e+10]
Three months or less,2020-12-31,[3.9559e+10]
Three months or less,2021-03-31,[5.20106e+11]
Three months or less,2021-12-31,[1.9085e+10]
Three months or less,2022-03-31,[5.51557e+11]
Three months or less,2022-06-30,[4.8355e+10]
Three months or less,2022-09-30,[1.8745e+10]
Three months or less,2022-12-31,[2.5985e+10]
Three months or less,2023-03-31,[6.48494e+11]
Three months or less,2008-09-30,[4.4455e+10]
Three months or less,2009-03-31,[4.059e+10]
Three months or less,2010-03-31,[3.0068e+10]
Three months or less,2011-03-31,[1.9581e+10]
Three months or less,2012-03-31,[1.5286e+10]
Three months or less,2013-03-31,[1.2359e+10]
Three months or less,2023-03-31,[1.7503e+10]
Three months or less,2017-03-31,[3.5707e+10]
Three months or less,2018-03-31,[3.6999e+10]
Three months or less,2018-12-31,[-1.6573e+10]
Three months or less,2019-03-31,[4.0113e+10]
Three months or less,2019-06-30,[-7.594e+09]
Three months or less,2019-09-30,[1.6455e+10]
Three months or less,2019-12-31,[-1.1266e+10]
Three months or less,2020-03-31,[4.1697e+10]
Three months or less,2021-03-31,[4.0587e+10]
Three months or less,2022-03-31,[4.802e+10]
Three months or less,2023-03-31,[6.8449e+10]
Over three months through 12 months,2008-09-30,[9.224e+09]
Over three months through 12 months,2008-12-31,[-8.981e+09]
Over three months through 12 months,2009-03-31,[1.1616e+10]
Over three months through 12 months,2009-12-31,[-6.681e+09]
Over three months through 12 months,2010-03-31,[9.199e+09]
Over three months through 12 months,2011-03-31,[1.7708e+10]
Over three months through 12 months,2011-06-30,[1.1144e+10]
Over three months through 12 months,2012-03-31,[2.3678e+10]
Over three months through 12 months,2013-03-31,[2.7884e+10]
Over three months through 12 months,2013-06-30,[-7.101e+09]
Over three months through 12 months,2013-12-31,[-7.796e+09]
Over three months through 12 months,2014-03-31,[1.4071e+10]
Over three months through 12 months,2014-12-31,[-6.149e+09]
Over three months through 12 months,2015-03-31,[1.2988e+10]
Over three months through 12 months,2015-12-31,[-4.713e+09]
Over three months through 12 months,2018-12-31,[1.4598e+10]
Over three months through 12 months,2019-09-30,[8.445e+09]
Over three months through 12 months,2020-03-31,[1.6625e+10]
Over three months through 12 months,2020-06-30,[2.9713e+10]
Over three months through 12 months,2020-09-30,[-1.2032e+10]
Over three months through 12 months,2021-03-31,[1.2026e+10]
Over three months through 12 months,2021-09-30,[1.3497e+10]
Over three months through 12 months,2021-12-31,[1.7587e+10]
Over three months through 12 months,2022-03-31,[4.6041e+10]
Over three months through 12 months,2022-06-30,[-9.715e+09]
Over three months through 12 months,2022-09-30,[1.1354e+10]
Over three months through 12 months,2023-03-31,[7.5369e+10]
Over three months through 12 months,2001-03-31,[2.5955e+10]
Over three months through 12 months,2001-12-31,[8.715e+09]
Over three months through 12 months,2002-03-31,[3.4003e+10]
Over three months through 12 months,2003-03-31,[3.4055e+10]
Over three months through 12 months,2003-09-30,[8.908e+09]
Over three months through 12 months,2003-12-31,[-2.4056e+10]
Over three months through 12 months,2004-03-31,[1.5149e+10]
Over three months through 12 months,2005-03-31,[2.3808e+10]
Over three months through 12 months,2006-03-31,[3.5575e+10]
Over three months through 12 months,2007-03-31,[4.2498e+10]
Over three months through 12 months,2008-03-31,[4.4211e+10]
Over three months through 12 months,2009-03-31,[4.2135e+10]
Over three months through 12 months,2009-09-30,[-5.49e+09]
Over three months through 12 months,2010-03-31,[4.0582e+10]
Over three months through 12 months,2010-12-31,[-1.1432e+10]
Over three months through 12 months,2011-03-31,[2.903e+10]
Over three months through 12 months,2012-03-31,[3.5656e+10]
Over three months through 12 months,2013-03-31,[3.0907e+10]
Over three months through 12 months,2013-12-31,[-4.134e+09]
Over three months through 12 months,2014-03-31,[2.8124e+10]
Over three months through 12 months,2015-03-31,[3.3976e+10]
Over three months through 12 months,2016-03-31,[3.4457e+10]
Over three months through 12 months,2016-09-30,[-3.551e+09]
Over three months through 12 months,2017-03-31,[4.2631e+10]
Over three months through 12 months,2018-03-31,[4.7365e+10]
Over three months through 12 months,2019-03-31,[4.5e+10]
Over three months through 12 months,2020-03-31,[5.9575e+10]
Over three months through 12 months,2020-06-30,[-5.578e+09]
Over three months through 12 months,2020-09-30,[-3.716e+09]
Over three months through 12 months,2020-12-31,[-1.1033e+10]
Over three months through 12 months,2021-03-31,[2.8299e+10]
Over three months through 12 months,2021-06-30,[1.3099e+10]
Over three months through 12 months,2021-09-30,[-1.0234e+10]
Over three months through 12 months,2022-03-31,[3.77e+10]
Over three months through 12 months,2022-12-31,[1.0364e+10]
Over three months through 12 months,2023-03-31,[4.2594e+10]
Over three months through 12 months,2001-03-31,[1.0092e+10]
Over three months through 12 months,2001-06-30,[-3.763e+09]
Over three months through 12 months,2003-09-30,[-5.214e+09]
Over three months through 12 months,2009-03-31,[1.2697e+10]
Over three months through 12 months,2010-03-31,[1.3916e+10]
Over three months through 12 months,2011-03-31,[1.0601e+10]
Over three months through 12 months,2012-03-31,[1.3361e+10]
Over three months through 12 months,2013-03-31,[1.1577e+10]
Over three months through 12 months,2014-03-31,[1.0754e+10]
Over three months through 12 months,2015-03-31,[9.726e+09]
Over three months through 12 months,2016-03-31,[9.356e+09]
Over three months through 12 months,2019-03-31,[1.3791e+10]
Over three months through 12 months,2020-03-31,[1.9307e+10]
Over three months through 12 months,2020-06-30,[-5.772e+09]
Over three months through 12 months,2023-03-31,[4.1753e+10]
Over three months through 12 months,2020-03-31,[9.894e+09]
Over three months through 12 months,2022-03-31,[7.992e+09]
Over three months through 12 months,2023-03-31,[2.4807e+10]
Over one year through three years,2001-06-30,[7.824e+09]
Over one year through three years,2001-09-30,[-5.146e+09]
Over one year through three years,2002-03-31,[8.113e+09]
Over one year through three years,2002-06-30,[-4.072e+09]
Over one year through three years,2009-03-31,[5.95e+10]
Over one year through three years,2009-09-30,[8.911e+09]
Over one year through three years,2009-12-31,[-6.73e+09]
Over one year through three years,2010-03-31,[6.3551e+10]
Over one year through three years,2010-06-30,[-2.0189e+10]
Over one year through three years,2010-09-30,[-3.466e+09]
Over one year through three years,2011-03-31,[4.1469e+10]
Over one year through three years,2011-06-30,[-1.3798e+10]
Over one year through three years,2012-03-31,[2.6039e+10]
Over one year through three years,2012-06-30,[-4.246e+09]
Over one year through three years,2012-09-30,[5.369e+09]
Over one year through three years,2013-03-31,[2.5309e+10]
Over one year through three years,2013-06-30,[-3.634e+09]
Over one year through three years,2014-03-31,[1.9343e+10]
Over one year through three years,2015-03-31,[1.7566e+10]
Over one year through three years,2016-03-31,[1.0921e+10]
Over one year through three years,2017-03-31,[9.829e+09]
Over one year through three years,2017-12-31,[-3.589e+09]
Over one year through three years,2018-03-31,[7.205e+09]
Over one year through three years,2019-03-31,[1.7773e+10]
Over one year through three years,2019-06-30,[1.36e+10]
Over one year through three years,2019-09-30,[4.2516e+10]
Over one year through three years,2020-03-31,[7.52e+10]
Over one year through three years,2020-09-30,[1.9842e+10]
Over one year through three years,2020-12-31,[2.3185e+10]
Over one year through three years,2021-03-31,[1.21847e+11]
Over one year through three years,2021-06-30,[-5.306e+09]
Over one year through three years,2021-09-30,[8.362e+09]
Over one year through three years,2021-12-31,[4.777e+10]
Over one year through three years,2022-03-31,[1.55719e+11]
Over one year through three years,2022-06-30,[-6.601e+09]
Over one year through three years,2022-09-30,[-3.9668e+10]
Over one year through three years,2022-12-31,[-3.643e+09]
Over one year through three years,2023-03-31,[8.4066e+10]
Over one year through three years,2001-03-31,[7.615e+09]
Over one year through three years,2001-03-31,[1.4589e+10]
Over one year through three years,2002-03-31,[1.4529e+10]
Over one year through three years,2003-03-31,[2.0927e+10]
Over one year through three years,2003-12-31,[-8.215e+09]
Over one year through three years,2004-03-31,[1.6007e+10]
Over one year through three years,2004-12-31,[1.9002e+10]
Over one year through three years,2005-03-31,[3.5075e+10]
Over one year through three years,2006-03-31,[3.4961e+10]
Over one year through three years,2007-03-31,[3.696e+10]
Over one year through three years,2008-03-31,[2.6504e+10]
Over one year through three years,2009-03-31,[2.39e+10]
Over one year through three years,2010-03-31,[2.6891e+10]
Over one year through three years,2011-03-31,[3.3979e+10]
Over one year through three years,2011-12-31,[-7.169e+09]
Over one year through three years,2012-03-31,[2.9138e+10]
Over one year through three years,2013-03-31,[2.99e+10]
Over one year through three years,2014-03-31,[3.8164e+10]
Over one year through three years,2015-03-31,[4.4028e+10]
Over one year through three years,2016-03-31,[4.8861e+10]
Over one year through three years,2017-03-31,[5.399e+10]
Over one year through three years,2017-06-30,[6.921e+09]
Over one year through three years,2018-03-31,[6.5965e+10]
Over one year through three years,2019-03-31,[7.2303e+10]
Over one year through three years,2019-06-30,[7.172e+09]
Over one year through three years,2019-09-30,[-1.2873e+10]
Over one year through three years,2020-03-31,[7.4502e+10]
Over one year through three years,2020-06-30,[1.5537e+10]
Over one year through three years,2021-03-31,[8.264e+10]
Over one year through three years,2021-06-30,[-2.2528e+10]
Over one year through three years,2022-03-31,[7.0725e+10]
Over one year through three years,2022-06-30,[-7.454e+09]
Over one year through three years,2022-12-31,[-7.e+09]
Over one year through three years,2023-03-31,[5.5233e+10]
Over one year through three years,2008-09-30,[3.0154e+10]
Over one year through three years,2008-12-31,[-9.564e+09]
Over one year through three years,2009-03-31,[1.2106e+10]
Over one year through three years,2009-06-30,[-5.002e+09]
Over one year through three years,2009-09-30,[-4.514e+09]
Over one year through three years,2019-03-31,[5.71e+09]
Over one year through three years,2020-03-31,[5.783e+09]
Over one year through three years,2009-06-30,[9.997e+09]
Over one year through three years,2010-03-31,[1.2669e+10]
Over one year through three years,2011-03-31,[1.214e+10]
Over one year through three years,2011-06-30,[2.2641e+10]
Over one year through three years,2011-12-31,[-7.674e+09]
Over one year through three years,2012-03-31,[2.4413e+10]
Over one year through three years,2012-06-30,[-6.744e+09]
Over one year through three years,2013-03-31,[2.2379e+10]
Over one year through three years,2014-03-31,[2.4905e+10]
Over one year through three years,2015-03-31,[2.5185e+10]
Over one year through three years,2016-03-31,[1.9275e+10]
Over one year through three years,2016-06-30,[1.0387e+10]
Over one year through three years,2017-03-31,[3.2392e+10]
Over one year through three years,2018-03-31,[3.2815e+10]
Over one year through three years,2019-03-31,[3.788e+10]
Over one year through three years,2019-09-30,[1.3591e+10]
Over one year through three years,2020-03-31,[4.0729e+10]
Over one year through three years,2020-06-30,[-5.57e+09]
Over one year through three years,2021-03-31,[3.6702e+10]
Over one year through three years,2021-09-30,[6.772e+09]
Over one year through three years,2022-03-31,[4.3168e+10]
Over one year through three years,2023-03-31,[4.0718e+10]
Over one year through three years,2015-03-31,[7.452e+09]
Over one year through three years,2001-03-31,[1.148e+10]
Over one year through three years,2002-03-31,[9.426e+09]
Over one year through three years,2003-03-31,[6.618e+09]
Over one year through three years,2005-03-31,[9.997e+09]
Over one year through three years,2006-03-31,[1.6993e+10]
Over one year through three years,2007-03-31,[1.7179e+10]
Over one year through three years,2008-03-31,[1.4253e+10]
Over one year through three years,2009-03-31,[1.1945e+10]
Over one year through three years,2010-03-31,[1.6628e+10]
Over one year through three years,2011-03-31,[1.8711e+10]
Over one year through three years,2012-03-31,[1.256e+10]
Over one year through three years,2013-03-31,[8.377e+09]
Over one year through three years,2015-03-31,[7.108e+09]
Over one year through three years,2016-03-31,[7.825e+09]
Over one year through three years,2017-03-31,[7.405e+09]
Over one year through three years,2018-03-31,[9.757e+09]
Over one year through three years,2019-03-31,[1.1434e+10]
Over one year through three years,2020-03-31,[1.1649e+10]
Over one year through three years,2021-03-31,[1.1437e+10]
Over one year through three years,2022-03-31,[8.331e+09]
Over one year through three years,2023-03-31,[7.109e+09]
Over one year through three years,2017-03-31,[5.452e+09]
Over one year through three years,2018-03-31,[5.686e+09]
Over one year through three years,2019-03-31,[1.2772e+10]
Over one year through three years,2020-03-31,[7.178e+09]
Over one year through three years,2023-03-31,[9.193e+09]
Over three years through five years,2001-03-31,[8.076e+09]
Over three years through five years,2001-12-31,[-3.548e+09]
Over three years through five years,2002-03-31,[8.942e+09]
Over three years through five years,2003-03-31,[1.3197e+10]
Over three years through five years,2003-06-30,[-8.401e+09]
Over three years through five years,2004-03-31,[9.427e+09]
Over three years through five years,2004-06-30,[-2.556e+09]
Over three years through five years,2005-12-31,[-4.829e+09]
Over three years through five years,2006-03-31,[6.147e+09]
Over three years through five years,2006-06-30,[-5.008e+09]
Over three years through five years,2008-12-31,[5.064e+09]
Over three years through five years,2009-03-31,[3.1105e+10]
Over three years through five years,2009-06-30,[-7.589e+09]
Over three years through five years,2009-12-31,[-4.721e+09]
Over three years through five years,2010-03-31,[1.6762e+10]
Over three years through five years,2010-09-30,[5.232e+09]
Over three years through five years,2010-12-31,[-4.614e+09]
Over three years through five years,2011-03-31,[2.3442e+10]
Over three years through five years,2011-06-30,[-4.737e+09]
Over three years through five years,2012-03-31,[2.3826e+10]
Over three years through five years,2013-03-31,[2.1734e+10]
Over three years through five years,2013-06-30,[-3.464e+09]
Over three years through five years,2014-03-31,[1.3565e+10]
Over three years through five years,2014-09-30,[-2.486e+09]
Over three years through five years,2015-03-31,[1.2923e+10]
Over three years through five years,2016-03-31,[1.0898e+10]
Over three years through five years,2016-09-30,[6.127e+09]
Over three years through five years,2016-12-31,[-2.281e+09]
Over three years through five years,2017-03-31,[9.985e+09]
Over three years through five years,2017-06-30,[-3.16e+09]
Over three years through five years,2018-03-31,[1.0974e+10]
Over three years through five years,2018-09-30,[7.376e+09]
Over three years through five years,2019-03-31,[2.2674e+10]
Over three years through five years,2019-09-30,[8.793e+09]
Over three years through five years,2020-03-31,[3.6493e+10]
Over three years through five years,2020-06-30,[1.9577e+10]
Over three years through five years,2020-09-30,[-1.5912e+10]
Over three years through five years,2020-12-31,[9.352e+09]
Over three years through five years,2021-03-31,[6.0387e+10]
Over three years through five years,2021-09-30,[1.2586e+10]
Over three years through five years,2021-12-31,[7.237e+09]
Over three years through five years,2022-03-31,[8.3065e+10]
Over three years through five years,2022-06-30,[-3.48e+09]
Over three years through five years,2022-12-31,[-1.3194e+10]
Over three years through five years,2023-03-31,[4.9662e+10]
Over three years through five years,2001-03-31,[6.651e+09]
Over three years through five years,2006-06-30,[-3.997e+09]
Over three years through five years,2003-12-31,[1.895e+10]
Over three years through five years,2004-03-31,[2.3404e+10]
Over three years through five years,2004-12-31,[1.3486e+10]
Over three years through five years,2005-03-31,[3.4096e+10]
Over three years through five years,2006-03-31,[3.4067e+10]
Over three years through five years,2007-03-31,[3.8071e+10]
Over three years through five years,2008-03-31,[2.8824e+10]
Over three years through five years,2008-09-30,[1.2149e+10]
Over three years through five years,2009-03-31,[4.2807e+10]
Over three years through five years,2010-03-31,[3.9522e+10]
Over three years through five years,2010-06-30,[-2.236e+09]
Over three years through five years,2011-03-31,[3.804e+10]
Over three years through five years,2012-03-31,[4.2687e+10]
Over three years through five years,2013-03-31,[4.9509e+10]
Over three years through five years,2014-03-31,[5.4223e+10]
Over three years through five years,2014-12-31,[-2.614e+09]
Over three years through five years,2015-03-31,[5.3317e+10]
Over three years through five years,2016-03-31,[5.932e+10]
Over three years through five years,2016-09-30,[5.923e+09]
Over three years through five years,2017-03-31,[7.3714e+10]
Over three years through five years,2018-03-31,[7.4928e+10]
Over three years through five years,2019-03-31,[7.7751e+10]
Over three years through five years,2019-06-30,[-4.819e+09]
Over three years through five years,2019-09-30,[-1.526e+10]
Over three years through five years,2020-03-31,[5.716e+10]
Over three years through five years,2021-03-31,[8.1598e+10]
Over three years through five years,2021-06-30,[5.344e+09]
Over three years through five years,2022-03-31,[1.01963e+11]
Over three years through five years,2022-06-30,[-9.479e+09]
Over three years through five years,2022-09-30,[-7.41e+09]
Over three years through five years,2023-03-31,[8.4093e+10]
Over three years through five years,2009-06-30,[1.0177e+10]
Over three years through five years,2010-03-31,[6.651e+09]
Over three years through five years,2011-03-31,[5.609e+09]
Over three years through five years,2022-03-31,[5.606e+09]
Over three years through five years,2011-06-30,[-2.419e+09]
Over three years through five years,2012-03-31,[6.334e+09]
Over three years through five years,2013-03-31,[1.1487e+10]
Over three years through five years,2013-09-30,[-4.135e+09]
Over three years through five years,2014-03-31,[5.173e+09]
Over three years through five years,2014-12-31,[-3.229e+09]
Over three years through five years,2002-03-31,[8.036e+09]
Over three years through five years,2003-03-31,[6.956e+09]
Over three years through five years,2003-09-30,[5.06e+09]
Over three years through five years,2004-03-31,[1.473e+10]
Over three years through five years,2005-03-31,[1.8945e+10]
Over three years through five years,2006-03-31,[1.6979e+10]
Over three years through five years,2007-03-31,[9.512e+09]
Over three years through five years,2008-03-31,[8.696e+09]
Over three years through five years,2008-09-30,[2.0489e+10]
Over three years through five years,2009-03-31,[3.1255e+10]
Over three years through five years,2009-06-30,[-5.306e+09]
Over three years through five years,2009-12-31,[-5.051e+09]
Over three years through five years,2010-03-31,[1.9582e+10]
Over three years through five years,2010-06-30,[-4.076e+09]
Over three years through five years,2010-09-30,[-2.679e+09]
Over three years through five years,2011-03-31,[9.485e+09]
Over three years through five years,2012-03-31,[6.828e+09]
Over three years through five years,2013-03-31,[7.55e+09]
Over three years through five years,2014-03-31,[7.693e+09]
Over three years through five years,2015-03-31,[8.852e+09]
Over three years through five years,2016-03-31,[1.2541e+10]
Over three years through five years,2017-03-31,[1.2663e+10]
Over three years through five years,2018-03-31,[1.4341e+10]
Over three years through five years,2019-03-31,[2.074e+10]
Over three years through five years,2020-03-31,[2.1196e+10]
Over three years through five years,2020-06-30,[-3.65e+09]
Over three years through five years,2020-12-31,[-2.892e+09]
Over three years through five years,2021-03-31,[1.0915e+10]
Over three years through five years,2022-03-31,[1.1803e+10]
Over three years through five years,2023-03-31,[1.5001e+10]
Over five years through 15 years,2009-03-31,[2.3203e+10]
Over five years through 15 years,2009-12-31,[-1.2563e+10]
Over five years through 15 years,2010-03-31,[1.9e+10]
Over five years through 15 years,2010-12-31,[-6.016e+09]
Over five years through 15 years,2011-03-31,[2.1615e+10]
Over five years through 15 years,2012-03-31,[3.3465e+10]
Over five years through 15 years,2013-03-31,[4.6639e+10]
Over five years through 15 years,2014-03-31,[4.3986e+10]
Over five years through 15 years,2015-03-31,[4.279e+10]
Over five years through 15 years,2016-03-31,[4.2766e+10]
Over five years through 15 years,2016-12-31,[2.277e+10]
Over five years through 15 years,2017-03-31,[6.5627e+10]
Over five years through 15 years,2017-06-30,[-1.2561e+10]
Over five years through 15 years,2017-12-31,[-7.242e+09]
Over five years through 15 years,2018-03-31,[4.4976e+10]
Over five years through 15 years,2018-09-30,[-5.941e+09]
Over five years through 15 years,2019-03-31,[3.482e+10]
Over five years through 15 years,2020-03-31,[6.8668e+10]
Over five years through 15 years,2020-06-30,[1.9488e+10]
Over five years through 15 years,2020-12-31,[1.4276e+10]
Over five years through 15 years,2021-03-31,[1.29359e+11]
Over five years through 15 years,2021-09-30,[-1.2084e+10]
Over five years through 15 years,2021-12-31,[-8.793e+09]
Over five years through 15 years,2022-03-31,[1.18414e+11]
Over five years through 15 years,2022-09-30,[-8.804e+09]
Over five years through 15 years,2023-03-31,[1.15294e+11]
Over five years through 15 years,2009-03-31,[2.0687e+10]
Over five years through 15 years,2009-06-30,[-6.499e+09]
Over five years through 15 years,2010-03-31,[3.0295e+10]
Over five years through 15 years,2011-03-31,[3.2459e+10]
Over five years through 15 years,2012-03-31,[3.0242e+10]
Over five years through 15 years,2013-03-31,[2.4005e+10]
Over five years through 15 years,2013-06-30,[-3.984e+09]
Over five years through 15 years,2013-09-30,[-4.466e+09]
Over five years through 15 years,2005-03-31,[1.7073e+10]
Over five years through 15 years,2006-03-31,[2.2866e+10]
Over five years through 15 years,2007-03-31,[3.3867e+10]
Over five years through 15 years,2008-03-31,[2.8767e+10]
Over five years through 15 years,2008-09-30,[1.2075e+10]
Over five years through 15 years,2009-03-31,[3.5464e+10]
Over five years through 15 years,2010-03-31,[3.0214e+10]
Over five years through 15 years,2011-03-31,[3.0142e+10]
Over five years through 15 years,2012-03-31,[3.7197e+10]
Over five years through 15 years,2013-03-31,[3.8361e+10]
Over five years through 15 years,2014-03-31,[4.2778e+10]
Over five years through 15 years,2014-09-30,[-4.393e+09]
Over five years through 15 years,2015-03-31,[3.8449e+10]
Over five years through 15 years,2016-03-31,[5.0076e+10]
Over five years through 15 years,2017-03-31,[5.9676e+10]
Over five years through 15 years,2018-03-31,[5.8378e+10]
Over five years through 15 years,2019-03-31,[5.4504e+10]
Over five years through 15 years,2020-03-31,[6.1784e+10]
Over five years through 15 years,2021-03-31,[7.9391e+10]
Over five years through 15 years,2022-03-31,[7.7945e+10]
